,pred,index,Cc
0,0.794809,3100,0.796581382934141
1,0.7975449,3101,0.8000367355677966
2,0.8001086,3102,0.8009814976178916
3,0.8013092,3103,0.8033820739475883
4,0.8033256,3104,0.8041450311024454
5,0.8044886,3105,0.8071844012362249
6,0.80715245,3106,0.8093963661765061
7,0.8095338,3107,0.8137001830889546
8,0.81415886,3108,0.8194298963756238
9,0.8191445,3109,0.8209547225702094
10,0.82041883,3110,0.822680963609824
11,0.822441,3111,0.8247091814268255
12,0.8247411,3112,0.8282546109611999
13,0.8286089,3113,0.832075222577827
14,0.8324127,3114,0.83591227408699
15,0.8358324,3115,0.837297829067596
16,0.8374691,3116,0.8419989803213158
17,0.84193873,3117,0.8433077792799137
18,0.8434322,3118,0.8457670007184327
19,0.8462316,3119,0.8486118687099798
20,0.8492949,3120,0.853345279341517
21,0.8545079,3121,0.8561880928721514
22,0.85663897,3122,0.8594694875580926
23,0.860788,3123,0.8619039790845854
24,0.8633036,3124,0.8686708609234846
25,0.8697217,3125,0.8724231074474226
26,0.8726117,3126,0.8766907332459928
27,0.87661445,3127,0.8764372669451115
28,0.8773039,3128,0.8820514874817761
29,0.88199604,3129,0.884193901944382
30,0.88439447,3130,0.8886905221392164
31,0.887647,3131,0.8902518102404656
32,0.88904595,3132,0.8928649028518794
33,0.89116865,3133,0.8933704865319351
34,0.8919399,3134,0.8957506074765794
35,0.895208,3135,0.9041773429421626
36,0.90217674,3136,0.9045150456881607
37,0.90429306,3137,0.9096944342205469
38,0.90783924,3138,0.9142925335778697
39,0.91193527,3139,0.9179182342071761
40,0.9160427,3140,0.9189477922580495
41,0.9166836,3141,0.9215957127509057
42,0.9197535,3142,0.9258273071012797
43,0.92321527,3143,0.9264382646705546
44,0.924062,3144,0.9273474466307562
45,0.9253705,3145,0.9293510421999049
46,0.9279221,3146,0.9337290506665274
47,0.9311081,3147,0.9387833384627395
48,0.9363377,3148,0.9397762940637628
49,0.93669045,3149,0.9416061720718012
50,0.93864703,3150,0.9442547381975079
51,0.94174194,3151,0.9468274107823709
52,0.94351774,3152,0.9437553507707427
53,0.94245213,3153,0.9457878765836352
54,0.94474894,3154,0.9491966933775119
55,0.94798696,3155,0.9493587067755743
56,0.9476423,3156,0.9512022117895401
57,0.95120484,3157,0.9566734668139865
58,0.95490456,3158,0.9611352930412348
59,0.95881104,3159,0.9660685640168745
60,0.9638357,3160,0.9670122228124983
61,0.9645821,3161,0.968751969431116
62,0.9655404,3162,0.9692566291108669
63,0.96663904,3163,0.9718472081455057
64,0.968663,3164,0.9766695537442064
65,0.9725586,3165,0.9800861651553889
66,0.9757767,3166,0.9811187992407201
67,0.9768101,3167,0.981131432361644
68,0.9777568,3168,0.9851244202180114
69,0.9806766,3169,0.9889264377262053
70,0.9835589,3170,0.9903466173876305
71,0.98512995,3171,0.992143711419477
72,0.9865376,3172,0.9921918044611985
73,0.98693764,3173,0.9905632756468343
74,0.98602676,3174,0.9928844628932665
75,0.9879401,3175,0.9944982377584759
76,0.9892283,3176,0.9967231345857841
77,0.9910403,3177,0.9956556674827598
78,0.9907937,3178,0.9931716641561932
79,0.9890264,3179,0.9961015133020557
80,0.9909339,3180,0.9968595670124147
81,0.99105036,3181,0.9966050133203782
82,0.99069756,3182,0.9966808462089561
83,0.99094486,3183,0.9939986252124802
84,0.98869294,3184,0.9936432156327918
85,0.9878762,3185,0.9934428913766633
86,0.98833364,3186,0.9918722080472843
87,0.9869542,3187,0.9952700678927145
88,0.98889184,3188,0.993953003856202
89,0.9880868,3189,0.9955886474451368
90,0.9889035,3190,0.9954135396693642
91,0.9886727,3191,0.9925539213165508
92,0.9866136,3192,0.9934831670448773
93,0.9871112,3193,0.9951323973914827
94,0.9880892,3194,0.9934562972982258
95,0.9867072,3195,0.992399033471687
96,0.9855273,3196,0.9926067085842066
97,0.98519367,3197,0.9886825874965749
98,0.9816364,3198,0.9842772359125028
99,0.9782497,3199,0.9836630656792922
100,0.9773924,3200,0.9817348283208138
101,0.9755204,3201,0.9802262857793161
102,0.9741703,3202,0.9804531003939223
103,0.9738487,3203,0.9801844624223254
104,0.97336316,3204,0.9727343491432203
105,0.9670229,3205,0.9714181700633633
106,0.96555203,3206,0.9678377574263708
107,0.9625561,3207,0.9675172723019468
108,0.9616312,3208,0.9608468133596885
109,0.9559641,3209,0.9579009182277908
110,0.9532287,3210,0.954120790143302
111,0.9496757,3211,0.9523016665901899
112,0.9480823,3212,0.9497136761856078
113,0.9460102,3213,0.9491512341735256
114,0.9452594,3214,0.9482693287333109
115,0.9439769,3215,0.9420488661138804
116,0.93865067,3216,0.9421224097933929
117,0.93903536,3217,0.9390825153481365
118,0.93552583,3218,0.9398300094630546
119,0.93585366,3219,0.9391672128491265
120,0.936023,3220,0.9401381791843948
121,0.93592703,3221,0.9347414744299469
122,0.9317656,3222,0.9305989725677694
123,0.9286785,3223,0.9291535557105287
124,0.92719954,3224,0.9289398698522245
125,0.9257789,3225,0.928471120212033
126,0.9253677,3226,0.9271410119637976
127,0.9237735,3227,0.9222397086348113
128,0.91947126,3228,0.9187985535322296
129,0.9167894,3229,0.9134693994875505
130,0.911883,3230,0.9131864160655951
131,0.9116727,3231,0.9103086379191452
132,0.9088168,3232,0.9110781132735513
133,0.90876186,3233,0.9087937160631192
134,0.9059418,3234,0.9043402966568203
135,0.9021377,3235,0.8959473576882044
136,0.8954554,3236,0.8970969744437652
137,0.8956437,3237,0.8959731741358891
138,0.8943071,3238,0.8935220540914293
139,0.8917721,3239,0.8869563004004489
140,0.88578486,3240,0.8842493991562513
